name, x, y
C-5-E, 71.63268470616903, 37.10858825970452
C-6-A, 75.41159239456587, 30.6264757413212
C-6-C, 95.55603144495598, 43.956350920387365
D-9-A, 76.35640809190751, 38.28214733521544
D-9-H, 62.04998107820784, 33.96763341989654
D-9-J, 10.490526812368174, 44.34649949916796
D-9-M, 29.285816884857198, 51.225318695475906
E-91-QV, 39.089563193383896, 8.949376076097575
G-1-A, 80.97752660805249, 40.86692740235125
G-1-E, 67.28928592078097, 35.54286506828263
G-1-H, 64.34965666464143, 30.970527111853706
G-1-K, 60.79589141493688, 43.744578880445474
G-1-M, 39.42905051619226, 50.31650600418443
G-1-T, 50.87648955788673, 42.191079061859796
G-2-Z, 48.653260748731924, 24.035926473571152
G-34-A, 88.59096246697544, 46.822103795690154
G-34-E, 62.540870055098345, 39.09704633504778
G-34-H, 63.89989804996674, 32.583705723402886
G-34-K, 57.06682806805605, 42.80189331637875
G-34-N, 41.8004492751839, 29.309652474707335
G-34-S, 46.09489809954095, 37.921904779301315
G-34-T, 43.905097007879505, 39.752862687262606
G-34-U, 38.77411777236993, 30.774584384268735
G-34-V, 42.806364467339144, 34.697717160267466
G-34-W, 46.385693212728334, 36.10692876807997
G-34-Y, 40.00080979387719, 27.20760943121812
G-34-Z, 48.121535900478406, 19.720086345602887
H-1-A, 86.34161968355392, 46.14170223200542
H-1-M, 41.00400491104304, 49.97046778420406
J-11-A, 81.7700644646513, 45.74559113890136
K-9-O, 33.89088184154005, 49.074497953603384
K-9-OA, 36.37732558589622, 45.6199079853407
K-9-Q, 12.938697535916091, 45.56088185546619
K-9-T, 38.08760137655891, 44.839732318118934
K-9-TA, 34.73144359810468, 45.6826510373777
K-9-Z, 50.235738198535486, 22.008496639064695
K-9-ZE, 46.94139243122153, 21.69095617250781
K-19-A, 83.6378259176207, 31.676983274560207
K-29-A, 93.13642735870388, 39.115079163975395
K-39-A, 92.64759548396196, 41.99034225565375
K-49-A, 89.4759927800024, 43.21416741332907
K-59-A, 91.38814421396981, 37.37923952330867
K-69-A, 86.89309800648533, 43.669671908543805
L-12-T, 51.63478972485702, 40.06843766145762
L-21-A, 88.64411131413252, 35.57862040300188
L-21-C, 92.10530363697754, 46.32329680761205
L-21-E, 72.08252997062041, 34.599843935037
P-9-A, 84.3443305768343, 40.468419622446376
P-9-D, 76.02951193600464, 34.69693070852907
P-9-E, 65.49335461382773, 36.936804214848905
P-9-J, 23.167871525160365, 49.71505829887952
P-17-A, 88.30530708427816, 40.53219524669593
Q-11-A, 76.58559169587629, 41.878241946313096
Q-11-K, 62.39373796412318, 44.395598826361464
S-1-A, 81.50013087597608, 33.82259048799921
S-1-E, 67.84298693351977, 37.63986552413972
S-1-H, 65.72801214519458, 38.802044547126165
S-1-K, 59.412016353547926, 45.43716400448747
S-1-L, 54.1797434769516, 44.86322295518083
S-1-M, 46.34684584721251, 49.68012068623166
S-2-K, 58.660282581800786, 47.323626660815805
S-3-A, 83.93284855232216, 37.896644732689225
S-3-E, 69.13688882839077, 32.60099235895334
S-3-H, 60.34978186084183, 36.48838046613389
S-3-M, 36.603599271997645, 51.35906034948046
S-3-T, 46.5277736088986, 43.572527374116675
S-4-D, 77.49908139728241, 35.81589234034891
S-4-E, 69.14996446919167, 34.90601862757764
S-4-H, 62.93466326577759, 41.336308431178
S-4-K, 56.72854177878306, 45.55756497216477
S-4-M, 43.179548001897274, 50.7507318816674
S-4-P, 55.623713948866325, 21.84444912599116
S-4-T, 40.13001612241149, 41.92765900328341
S-4-W, 45.07523288227617, 34.4715803410286
S-4-X, 46.06994814801668, 11.974877474301373
S-4-Y, 37.3786589071602, 25.719595506024017
S-4-Z, 44.31525566769635, 20.252326665771776
S-8-P, 54.65441696407345, 20.090613845182105
T-9-L, 49.87933505719291, 47.86408788405601
T-9-M, 38.87177398842562, 47.36336256155771
T-9-O, 35.51311378458192, 48.8547263547274
T-9-Q, 14.71465837877031, 46.745162223877195
T-9-QA, 16.84295000636107, 48.14328947259172
T-10-A, 78.95162221014579, 30.903302477168637
T-19-A, 82.0367394014907, 35.84229066376565
TB-9-AK, 66.99004252785743, 41.347801488310864
U-11-A, 78.0274196885056, 44.280145238544065
W-22-BV, 35.96677968392326, 8.267578548429663
Y-5-A, 84.71485000144258, 34.201325589561236
Y-6-A, 86.57838629808461, 36.13370040575245
Y-26-A, 80.34445600858975, 38.45317844828067